"country","continent","year","lifeExp","gdpPercap","pop"
"Afghanistan","Asia",1952,28.801,779.4453145,8425333
"Afghanistan","Asia",1957,30.332,820.8530296,9240934
"Afghanistan","Asia",1962,31.997,853.10071,10267083
"Afghanistan","Asia",1967,34.02,836.1971382,11537966
"Afghanistan","Asia",1972,36.088,739.9811058,13079460
"Afghanistan","Asia",1977,38.438,786.11336,14880372
"Afghanistan","Asia",1982,39.854,978.0114388,12881816
"Afghanistan","Asia",1987,40.822,852.3959448,13867957
"Afghanistan","Asia",1992,41.674,649.3413952,16317921
"Afghanistan","Asia",1997,41.763,635.341351,22227415
"Afghanistan","Asia",2002,42.129,726.7340548,25268405
"Afghanistan","Asia",2007,43.828,974.5803384,31889923
"Albania","Europe",1952,55.23,1601.056136,1282697
"Albania","Europe",1957,59.28,1942.284244,1476505
"Albania","Europe",1962,64.82,2312.888958,1728137
"Albania","Europe",1967,66.22,2760.196931,1984060
"Albania","Europe",1972,67.69,3313.422188,2263554
"Albania","Europe",1977,68.93,3533.00391,2509048
"Albania","Europe",1982,70.42,3630.880722,2780097
"Albania","Europe",1987,72,3738.932735,3075321
"Albania","Europe",1992,71.581,2497.437901,3326498
"Albania","Europe",1997,72.95,3193.054604,3428038
"Albania","Europe",2002,75.651,4604.211737,3508512
"Albania","Europe",2007,76.423,5937.029526,3600523
"Algeria","Africa",1952,43.077,2449.008185,9279525
"Algeria","Africa",1957,45.685,3013.976023,10270856
"Algeria","Africa",1962,48.303,2550.81688,11000948
"Algeria","Africa",1967,51.407,3246.991771,12760499
"Algeria","Africa",1972,54.518,4182.663766,14760787
"Algeria","Africa",1977,58.014,4910.416756,17152804
"Algeria","Africa",1982,61.368,5745.160213,20033753
"Algeria","Africa",1987,65.799,5681.358539,23254956
"Algeria","Africa",1992,67.744,5023.216647,26298373
"Algeria","Africa",1997,69.152,4797.295051,29072015
"Algeria","Africa",2002,70.994,5288.040382,31287142
"Algeria","Africa",2007,72.301,6223.367465,33333216
"Angola","Africa",1952,30.015,3520.610273,4232095
"Angola","Africa",1957,31.999,3827.940465,4561361
"Angola","Africa",1962,34,4269.276742,4826015
"Angola","Africa",1967,35.985,5522.776375,5247469
"Angola","Africa",1972,37.928,5473.288005,5894858
"Angola","Africa",1977,39.483,3008.647355,6162675
"Angola","Africa",1982,39.942,2756.953672,7016384
"Angola","Africa",1987,39.906,2430.208311,7874230
"Angola","Africa",1992,40.647,2627.845685,8735988
"Angola","Africa",1997,40.963,2277.140884,9875024
"Angola","Africa",2002,41.003,2773.287312,10866106
"Angola","Africa",2007,42.731,4797.231267,12420476
"Argentina","Americas",1952,62.485,5911.315053,17876956
"Argentina","Americas",1957,64.399,6856.856212,19610538
"Argentina","Americas",1962,65.142,7133.166023,21283783
"Argentina","Americas",1967,65.634,8052.953021,22934225
"Argentina","Americas",1972,67.065,9443.038526,24779799
"Argentina","Americas",1977,68.481,10079.02674,26983828
"Argentina","Americas",1982,69.942,8997.897412,29341374
"Argentina","Americas",1987,70.774,9139.671389,31620918
"Argentina","Americas",1992,71.868,9308.41871,33958947
"Argentina","Americas",1997,73.275,10967.28195,36203463
"Argentina","Americas",2002,74.34,8797.640716,38331121
"Argentina","Americas",2007,75.32,12779.37964,40301927
"Australia","Oceania",1952,69.12,10039.59564,8691212
"Australia","Oceania",1957,70.33,10949.64959,9712569
"Australia","Oceania",1962,70.93,12217.22686,10794968
"Australia","Oceania",1967,71.1,14526.12465,11872264
"Australia","Oceania",1972,71.93,16788.62948,13177000
"Australia","Oceania",1977,73.49,18334.19751,14074100
"Australia","Oceania",1982,74.74,19477.00928,15184200
"Australia","Oceania",1987,76.32,21888.88903,16257249
"Australia","Oceania",1992,77.56,23424.76683,17481977
"Australia","Oceania",1997,78.83,26997.93657,18565243
"Australia","Oceania",2002,80.37,30687.75473,19546792
"Australia","Oceania",2007,81.235,34435.36744,20434176
"Austria","Europe",1952,66.8,6137.076492,6927772
"Austria","Europe",1957,67.48,8842.59803,6965860
"Austria","Europe",1962,69.54,10750.72111,7129864
"Austria","Europe",1967,70.14,12834.6024,7376998
"Austria","Europe",1972,70.63,16661.6256,7544201
"Austria","Europe",1977,72.17,19749.4223,7568430
"Austria","Europe",1982,73.18,21597.08362,7574613
"Austria","Europe",1987,74.94,23687.82607,7578903
"Austria","Europe",1992,76.04,27042.01868,7914969
"Austria","Europe",1997,77.51,29095.92066,8069876
"Austria","Europe",2002,78.98,32417.60769,8148312
"Austria","Europe",2007,79.829,36126.4927,8199783
"Bahrain","Asia",1952,50.939,9867.084765,120447
"Bahrain","Asia",1957,53.832,11635.79945,138655
"Bahrain","Asia",1962,56.923,12753.27514,171863
"Bahrain","Asia",1967,59.923,14804.6727,202182
"Bahrain","Asia",1972,63.3,18268.65839,230800
"Bahrain","Asia",1977,65.593,19340.10196,297410
"Bahrain","Asia",1982,69.052,19211.14731,377967
"Bahrain","Asia",1987,70.75,18524.02406,454612
"Bahrain","Asia",1992,72.601,19035.57917,529491
"Bahrain","Asia",1997,73.925,20292.01679,598561
"Bahrain","Asia",2002,74.795,23403.55927,656397
"Bahrain","Asia",2007,75.635,29796.04834,708573
"Bangladesh","Asia",1952,37.484,684.2441716,46886859
"Bangladesh","Asia",1957,39.348,661.6374577,51365468
"Bangladesh","Asia",1962,41.216,686.3415538,56839289
"Bangladesh","Asia",1967,43.453,721.1860862,62821884
"Bangladesh","Asia",1972,45.252,630.2336265,70759295
"Bangladesh","Asia",1977,46.923,659.8772322,80428306
"Bangladesh","Asia",1982,50.009,676.9818656,93074406
"Bangladesh","Asia",1987,52.819,751.9794035,103764241
"Bangladesh","Asia",1992,56.018,837.8101643,113704579
"Bangladesh","Asia",1997,59.412,972.7700352,123315288
"Bangladesh","Asia",2002,62.013,1136.39043,135656790
"Bangladesh","Asia",2007,64.062,1391.253792,150448339
"Belgium","Europe",1952,68,8343.105127,8730405
"Belgium","Europe",1957,69.24,9714.960623,8989111
"Belgium","Europe",1962,70.25,10991.20676,9218400
"Belgium","Europe",1967,70.94,13149.04119,9556500
"Belgium","Europe",1972,71.44,16672.14356,9709100
"Belgium","Europe",1977,72.8,19117.97448,9821800
"Belgium","Europe",1982,73.93,20979.84589,9856303
"Belgium","Europe",1987,75.35,22525.56308,9870200
"Belgium","Europe",1992,76.46,25575.57069,10045622
"Belgium","Europe",1997,77.53,27561.19663,10199787
"Belgium","Europe",2002,78.32,30485.88375,10311970
"Belgium","Europe",2007,79.441,33692.60508,10392226
"Benin","Africa",1952,38.223,1062.7522,1738315
"Benin","Africa",1957,40.358,959.6010805,1925173
"Benin","Africa",1962,42.618,949.4990641,2151895
"Benin","Africa",1967,44.885,1035.831411,2427334
"Benin","Africa",1972,47.014,1085.796879,2761407
"Benin","Africa",1977,49.19,1029.161251,3168267
"Benin","Africa",1982,50.904,1277.897616,3641603
"Benin","Africa",1987,52.337,1225.85601,4243788
"Benin","Africa",1992,53.919,1191.207681,4981671
"Benin","Africa",1997,54.777,1232.975292,6066080
"Benin","Africa",2002,54.406,1372.877931,7026113
"Benin","Africa",2007,56.728,1441.284873,8078314
"Bolivia","Americas",1952,40.414,2677.326347,2883315
"Bolivia","Americas",1957,41.89,2127.686326,3211738
"Bolivia","Americas",1962,43.428,2180.972546,3593918
"Bolivia","Americas",1967,45.032,2586.886053,4040665
"Bolivia","Americas",1972,46.714,2980.331339,4565872
"Bolivia","Americas",1977,50.023,3548.097832,5079716
"Bolivia","Americas",1982,53.859,3156.510452,5642224
"Bolivia","Americas",1987,57.251,2753.69149,6156369
"Bolivia","Americas",1992,59.957,2961.699694,6893451
"Bolivia","Americas",1997,62.05,3326.143191,7693188
"Bolivia","Americas",2002,63.883,3413.26269,8445134
"Bolivia","Americas",2007,65.554,3822.137084,9119152
"Bosnia and Herzegovina","Europe",1952,53.82,973.5331948,2791000
"Bosnia and Herzegovina","Europe",1957,58.45,1353.989176,3076000
"Bosnia and Herzegovina","Europe",1962,61.93,1709.683679,3349000
"Bosnia and Herzegovina","Europe",1967,64.79,2172.352423,3585000
"Bosnia and Herzegovina","Europe",1972,67.45,2860.16975,3819000
"Bosnia and Herzegovina","Europe",1977,69.86,3528.481305,4086000
"Bosnia and Herzegovina","Europe",1982,70.69,4126.613157,4172693
"Bosnia and Herzegovina","Europe",1987,71.14,4314.114757,4338977
"Bosnia and Herzegovina","Europe",1992,72.178,2546.781445,4256013
"Bosnia and Herzegovina","Europe",1997,73.244,4766.355904,3607000
"Bosnia and Herzegovina","Europe",2002,74.09,6018.975239,4165416
"Bosnia and Herzegovina","Europe",2007,74.852,7446.298803,4552198
"Botswana","Africa",1952,47.622,851.2411407,442308
"Botswana","Africa",1957,49.618,918.2325349,474639
"Botswana","Africa",1962,51.52,983.6539764,512764
"Botswana","Africa",1967,53.298,1214.709294,553541
"Botswana","Africa",1972,56.024,2263.611114,619351
"Botswana","Africa",1977,59.319,3214.857818,781472
"Botswana","Africa",1982,61.484,4551.14215,970347
"Botswana","Africa",1987,63.622,6205.88385,1151184
"Botswana","Africa",1992,62.745,7954.111645,1342614
"Botswana","Africa",1997,52.556,8647.142313,1536536
"Botswana","Africa",2002,46.634,11003.60508,1630347
"Botswana","Africa",2007,50.728,12569.85177,1639131
"Brazil","Americas",1952,50.917,2108.944355,56602560
"Brazil","Americas",1957,53.285,2487.365989,65551171
"Brazil","Americas",1962,55.665,3336.585802,76039390
"Brazil","Americas",1967,57.632,3429.864357,88049823
"Brazil","Americas",1972,59.504,4985.711467,100840058
"Brazil","Americas",1977,61.489,6660.118654,114313951
"Brazil","Americas",1982,63.336,7030.835878,128962939
"Brazil","Americas",1987,65.205,7807.095818,142938076
"Brazil","Americas",1992,67.057,6950.283021,155975974
"Brazil","Americas",1997,69.388,7957.980824,168546719
"Brazil","Americas",2002,71.006,8131.212843,179914212
"Brazil","Americas",2007,72.39,9065.800825,190010647
"Bulgaria","Europe",1952,59.6,2444.286648,7274900
"Bulgaria","Europe",1957,66.61,3008.670727,7651254
"Bulgaria","Europe",1962,69.51,4254.337839,8012946
"Bulgaria","Europe",1967,70.42,5577.0028,8310226
"Bulgaria","Europe",1972,70.9,6597.494398,8576200
"Bulgaria","Europe",1977,70.81,7612.240438,8797022
"Bulgaria","Europe",1982,71.08,8224.191647,8892098
"Bulgaria","Europe",1987,71.34,8239.854824,8971958
"Bulgaria","Europe",1992,71.19,6302.623438,8658506
"Bulgaria","Europe",1997,70.32,5970.38876,8066057
"Bulgaria","Europe",2002,72.14,7696.777725,7661799
"Bulgaria","Europe",2007,73.005,10680.79282,7322858
"Burkina Faso","Africa",1952,31.975,543.2552413,4469979
"Burkina Faso","Africa",1957,34.906,617.1834648,4713416
"Burkina Faso","Africa",1962,37.814,722.5120206,4919632
"Burkina Faso","Africa",1967,40.697,794.8265597,5127935
"Burkina Faso","Africa",1972,43.591,854.7359763,5433886
"Burkina Faso","Africa",1977,46.137,743.3870368,5889574
"Burkina Faso","Africa",1982,48.122,807.1985855,6634596
"Burkina Faso","Africa",1987,49.557,912.0631417,7586551
"Burkina Faso","Africa",1992,50.26,931.7527731,8878303
"Burkina Faso","Africa",1997,50.324,946.2949618,10352843
"Burkina Faso","Africa",2002,50.65,1037.645221,12251209
"Burkina Faso","Africa",2007,52.295,1217.032994,14326203
"Burundi","Africa",1952,39.031,339.2964587,2445618
"Burundi","Africa",1957,40.533,379.5646281,2667518
"Burundi","Africa",1962,42.045,355.2032273,2961915
"Burundi","Africa",1967,43.548,412.9775136,3330989
"Burundi","Africa",1972,44.057,464.0995039,3529983
"Burundi","Africa",1977,45.91,556.1032651,3834415
"Burundi","Africa",1982,47.471,559.603231,4580410
"Burundi","Africa",1987,48.211,621.8188189,5126023
"Burundi","Africa",1992,44.736,631.6998778,5809236
"Burundi","Africa",1997,45.326,463.1151478,6121610
"Burundi","Africa",2002,47.36,446.4035126,7021078
"Burundi","Africa",2007,49.58,430.0706916,8390505
"Cambodia","Asia",1952,39.417,368.4692856,4693836
"Cambodia","Asia",1957,41.366,434.0383364,5322536
"Cambodia","Asia",1962,43.415,496.9136476,6083619
"Cambodia","Asia",1967,45.415,523.4323142,6960067
"Cambodia","Asia",1972,40.317,421.6240257,7450606
"Cambodia","Asia",1977,31.22,524.9721832,6978607
"Cambodia","Asia",1982,50.957,624.4754784,7272485
"Cambodia","Asia",1987,53.914,683.8955732,8371791
"Cambodia","Asia",1992,55.803,682.3031755,10150094
"Cambodia","Asia",1997,56.534,734.28517,11782962
"Cambodia","Asia",2002,56.752,896.2260153,12926707
"Cambodia","Asia",2007,59.723,1713.778686,14131858
"Cameroon","Africa",1952,38.523,1172.667655,5009067
"Cameroon","Africa",1957,40.428,1313.048099,5359923
"Cameroon","Africa",1962,42.643,1399.607441,5793633
"Cameroon","Africa",1967,44.799,1508.453148,6335506
"Cameroon","Africa",1972,47.049,1684.146528,7021028
"Cameroon","Africa",1977,49.355,1783.432873,7959865
"Cameroon","Africa",1982,52.961,2367.983282,9250831
"Cameroon","Africa",1987,54.985,2602.664206,10780667
"Cameroon","Africa",1992,54.314,1793.163278,12467171
"Cameroon","Africa",1997,52.199,1694.337469,14195809
"Cameroon","Africa",2002,49.856,1934.011449,15929988
"Cameroon","Africa",2007,50.43,2042.09524,17696293
"Canada","Americas",1952,68.75,11367.16112,14785584
"Canada","Americas",1957,69.96,12489.95006,17010154
"Canada","Americas",1962,71.3,13462.48555,18985849
"Canada","Americas",1967,72.13,16076.58803,20819767
"Canada","Americas",1972,72.88,18970.57086,22284500
"Canada","Americas",1977,74.21,22090.88306,23796400
"Canada","Americas",1982,75.76,22898.79214,25201900
"Canada","Americas",1987,76.86,26626.51503,26549700
"Canada","Americas",1992,77.95,26342.88426,28523502
"Canada","Americas",1997,78.61,28954.92589,30305843
"Canada","Americas",2002,79.77,33328.96507,31902268
"Canada","Americas",2007,80.653,36319.23501,33390141
"Central African Republic","Africa",1952,35.463,1071.310713,1291695
"Central African Republic","Africa",1957,37.464,1190.844328,1392284
"Central African Republic","Africa",1962,39.475,1193.068753,1523478
"Central African Republic","Africa",1967,41.478,1136.056615,1733638
"Central African Republic","Africa",1972,43.457,1070.013275,1927260
"Central African Republic","Africa",1977,46.775,1109.374338,2167533
"Central African Republic","Africa",1982,48.295,956.7529907,2476971
"Central African Republic","Africa",1987,50.485,844.8763504,2840009
"Central African Republic","Africa",1992,49.396,747.9055252,3265124
"Central African Republic","Africa",1997,46.066,740.5063317,3696513
"Central African Republic","Africa",2002,43.308,738.6906068,4048013
"Central African Republic","Africa",2007,44.741,706.016537,4369038
"Chad","Africa",1952,38.092,1178.665927,2682462
"Chad","Africa",1957,39.881,1308.495577,2894855
"Chad","Africa",1962,41.716,1389.817618,3150417
"Chad","Africa",1967,43.601,1196.810565,3495967
"Chad","Africa",1972,45.569,1104.103987,3899068
"Chad","Africa",1977,47.383,1133.98495,4388260
"Chad","Africa",1982,49.517,797.9081006,4875118
"Chad","Africa",1987,51.051,952.386129,5498955
"Chad","Africa",1992,51.724,1058.0643,6429417
"Chad","Africa",1997,51.573,1004.961353,7562011
"Chad","Africa",2002,50.525,1156.18186,8835739
"Chad","Africa",2007,50.651,1704.063724,10238807
"Chile","Americas",1952,54.745,3939.978789,6377619
"Chile","Americas",1957,56.074,4315.622723,7048426
"Chile","Americas",1962,57.924,4519.094331,7961258
"Chile","Americas",1967,60.523,5106.654313,8858908
"Chile","Americas",1972,63.441,5494.024437,9717524
"Chile","Americas",1977,67.052,4756.763836,10599793
"Chile","Americas",1982,70.565,5095.665738,11487112
"Chile","Americas",1987,72.492,5547.063754,12463354
"Chile","Americas",1992,74.126,7596.125964,13572994
"Chile","Americas",1997,75.816,10118.05318,14599929
"Chile","Americas",2002,77.86,10778.78385,15497046
"Chile","Americas",2007,78.553,13171.63885,16284741
"China","Asia",1952,44,400.448611,556263527
"China","Asia",1957,50.54896,575.9870009,637408000
"China","Asia",1962,44.50136,487.6740183,665770000
"China","Asia",1967,58.38112,612.7056934,754550000
"China","Asia",1972,63.11888,676.9000921,862030000
"China","Asia",1977,63.96736,741.2374699,943455000
"China","Asia",1982,65.525,962.4213805,1000281000
"China","Asia",1987,67.274,1378.904018,1084035000
"China","Asia",1992,68.69,1655.784158,1164970000
"China","Asia",1997,70.426,2289.234136,1230075000
"China","Asia",2002,72.028,3119.280896,1280400000
"China","Asia",2007,72.961,4959.114854,1318683096
"Colombia","Americas",1952,50.643,2144.115096,12350771
"Colombia","Americas",1957,55.118,2323.805581,14485993
"Colombia","Americas",1962,57.863,2492.351109,17009885
"Colombia","Americas",1967,59.963,2678.729839,19764027
"Colombia","Americas",1972,61.623,3264.660041,22542890
"Colombia","Americas",1977,63.837,3815.80787,25094412
"Colombia","Americas",1982,66.653,4397.575659,27764644
"Colombia","Americas",1987,67.768,4903.2191,30964245
"Colombia","Americas",1992,68.421,5444.648617,34202721
"Colombia","Americas",1997,70.313,6117.361746,37657830
"Colombia","Americas",2002,71.682,5755.259962,41008227
"Colombia","Americas",2007,72.889,7006.580419,44227550
"Comoros","Africa",1952,40.715,1102.990936,153936
"Comoros","Africa",1957,42.46,1211.148548,170928
"Comoros","Africa",1962,44.467,1406.648278,191689
"Comoros","Africa",1967,46.472,1876.029643,217378
"Comoros","Africa",1972,48.944,1937.577675,250027
"Comoros","Africa",1977,50.939,1172.603047,304739
"Comoros","Africa",1982,52.933,1267.100083,348643
"Comoros","Africa",1987,54.926,1315.980812,395114
"Comoros","Africa",1992,57.939,1246.90737,454429
"Comoros","Africa",1997,60.66,1173.618235,527982
"Comoros","Africa",2002,62.974,1075.811558,614382
"Comoros","Africa",2007,65.152,986.1478792,710960
"Congo, Dem. Rep.","Africa",1952,39.143,780.5423257,14100005
"Congo, Dem. Rep.","Africa",1957,40.652,905.8602303,15577932
"Congo, Dem. Rep.","Africa",1962,42.122,896.3146335,17486434
"Congo, Dem. Rep.","Africa",1967,44.056,861.5932424,19941073
"Congo, Dem. Rep.","Africa",1972,45.989,904.8960685,23007669
"Congo, Dem. Rep.","Africa",1977,47.804,795.757282,26480870
"Congo, Dem. Rep.","Africa",1982,47.784,673.7478181,30646495
"Congo, Dem. Rep.","Africa",1987,47.412,672.774812,35481645
"Congo, Dem. Rep.","Africa",1992,45.548,457.7191807,41672143
"Congo, Dem. Rep.","Africa",1997,42.587,312.188423,47798986
"Congo, Dem. Rep.","Africa",2002,44.966,241.1658765,55379852
"Congo, Dem. Rep.","Africa",2007,46.462,277.5518587,64606759
"Congo, Rep.","Africa",1952,42.111,2125.621418,854885
"Congo, Rep.","Africa",1957,45.053,2315.056572,940458
"Congo, Rep.","Africa",1962,48.435,2464.783157,1047924
"Congo, Rep.","Africa",1967,52.04,2677.939642,1179760
"Congo, Rep.","Africa",1972,54.907,3213.152683,1340458
"Congo, Rep.","Africa",1977,55.625,3259.178978,1536769
"Congo, Rep.","Africa",1982,56.695,4879.507522,1774735
"Congo, Rep.","Africa",1987,57.47,4201.194937,2064095
"Congo, Rep.","Africa",1992,56.433,4016.239529,2409073
"Congo, Rep.","Africa",1997,52.962,3484.164376,2800947
"Congo, Rep.","Africa",2002,52.97,3484.06197,3328795
"Congo, Rep.","Africa",2007,55.322,3632.557798,3800610
"Costa Rica","Americas",1952,57.206,2627.009471,926317
"Costa Rica","Americas",1957,60.026,2990.010802,1112300
"Costa Rica","Americas",1962,62.842,3460.937025,1345187
"Costa Rica","Americas",1967,65.424,4161.727834,1588717
"Costa Rica","Americas",1972,67.849,5118.146939,1834796
"Costa Rica","Americas",1977,70.75,5926.876967,2108457
"Costa Rica","Americas",1982,73.45,5262.734751,2424367
"Costa Rica","Americas",1987,74.752,5629.915318,2799811
"Costa Rica","Americas",1992,75.713,6160.416317,3173216
"Costa Rica","Americas",1997,77.26,6677.045314,3518107
"Costa Rica","Americas",2002,78.123,7723.447195,3834934
"Costa Rica","Americas",2007,78.782,9645.06142,4133884
"Cote d'Ivoire","Africa",1952,40.477,1388.594732,2977019
"Cote d'Ivoire","Africa",1957,42.469,1500.895925,3300000
"Cote d'Ivoire","Africa",1962,44.93,1728.869428,3832408
"Cote d'Ivoire","Africa",1967,47.35,2052.050473,4744870
"Cote d'Ivoire","Africa",1972,49.801,2378.201111,6071696
"Cote d'Ivoire","Africa",1977,52.374,2517.736547,7459574
"Cote d'Ivoire","Africa",1982,53.983,2602.710169,9025951
"Cote d'Ivoire","Africa",1987,54.655,2156.956069,10761098
"Cote d'Ivoire","Africa",1992,52.044,1648.073791,12772596
"Cote d'Ivoire","Africa",1997,47.991,1786.265407,14625967
"Cote d'Ivoire","Africa",2002,46.832,1648.800823,16252726
"Cote d'Ivoire","Africa",2007,48.328,1544.750112,18013409
"Croatia","Europe",1952,61.21,3119.23652,3882229
"Croatia","Europe",1957,64.77,4338.231617,3991242
"Croatia","Europe",1962,67.13,5477.890018,4076557
"Croatia","Europe",1967,68.5,6960.297861,4174366
"Croatia","Europe",1972,69.61,9164.090127,4225310
"Croatia","Europe",1977,70.64,11305.38517,4318673
"Croatia","Europe",1982,70.46,13221.82184,4413368
"Croatia","Europe",1987,71.52,13822.58394,4484310
"Croatia","Europe",1992,72.527,8447.794873,4494013
"Croatia","Europe",1997,73.68,9875.604515,4444595
"Croatia","Europe",2002,74.876,11628.38895,4481020
"Croatia","Europe",2007,75.748,14619.22272,4493312
"Cuba","Americas",1952,59.421,5586.53878,6007797
"Cuba","Americas",1957,62.325,6092.174359,6640752
"Cuba","Americas",1962,65.246,5180.75591,7254373
"Cuba","Americas",1967,68.29,5690.268015,8139332
"Cuba","Americas",1972,70.723,5305.445256,8831348
"Cuba","Americas",1977,72.649,6380.494966,9537988
"Cuba","Americas",1982,73.717,7316.918107,9789224
"Cuba","Americas",1987,74.174,7532.924763,10239839
"Cuba","Americas",1992,74.414,5592.843963,10723260
"Cuba","Americas",1997,76.151,5431.990415,10983007
"Cuba","Americas",2002,77.158,6340.646683,11226999
"Cuba","Americas",2007,78.273,8948.102923,11416987
"Czech Republic","Europe",1952,66.87,6876.14025,9125183
"Czech Republic","Europe",1957,69.03,8256.343918,9513758
"Czech Republic","Europe",1962,69.9,10136.86713,9620282
"Czech Republic","Europe",1967,70.38,11399.44489,9835109
"Czech Republic","Europe",1972,70.29,13108.4536,9862158
"Czech Republic","Europe",1977,70.71,14800.16062,10161915
"Czech Republic","Europe",1982,70.96,15377.22855,10303704
"Czech Republic","Europe",1987,71.58,16310.4434,10311597
"Czech Republic","Europe",1992,72.4,14297.02122,10315702
"Czech Republic","Europe",1997,74.01,16048.51424,10300707
"Czech Republic","Europe",2002,75.51,17596.21022,10256295
"Czech Republic","Europe",2007,76.486,22833.30851,10228744
"Denmark","Europe",1952,70.78,9692.385245,4334000
"Denmark","Europe",1957,71.81,11099.65935,4487831
"Denmark","Europe",1962,72.35,13583.31351,4646899
"Denmark","Europe",1967,72.96,15937.21123,4838800
"Denmark","Europe",1972,73.47,18866.20721,4991596
"Denmark","Europe",1977,74.69,20422.9015,5088419
"Denmark","Europe",1982,74.63,21688.04048,5117810
"Denmark","Europe",1987,74.8,25116.17581,5127024
"Denmark","Europe",1992,75.33,26406.73985,5171393
