plz,kreis
04600,Altenburger Land
04603,Altenburger Land
04610,Altenburger Land
04613,Altenburger Land
04617,Altenburger Land
04618,Altenburger Land
04626,Altenburger Land
04639,Altenburger Land
06556,Kyffhäuserkreis
06567,Kyffhäuserkreis
06571,Kyffhäuserkreis
06577,Kyffhäuserkreis
06578,Kyffhäuserkreis
07318,Saalfeld-Rudolstadt
07330,Saalfeld-Rudolstadt
07333,Saalfeld-Rudolstadt
07334,Saalfeld-Rudolstadt
07336,Saalfeld-Rudolstadt
07338,Saalfeld-Rudolstadt
07343,Saale-Orla-Kreis
07349,Saalfeld-Rudolstadt
07356,Saale-Orla-Kreis
07366,Saale-Orla-Kreis
07368,Saale-Orla-Kreis
07381,Saale-Orla-Kreis
07387,Saale-Orla-Kreis
07389,Saale-Orla-Kreis
07407,Saalfeld-Rudolstadt
07422,Saalfeld-Rudolstadt
07426,Saalfeld-Rudolstadt
07427,Saalfeld-Rudolstadt
07429,Saalfeld-Rudolstadt
07545,"Gera, Stadt"
07546,"Gera, Stadt"
07548,"Gera, Stadt"
07549,"Gera, Stadt"
07551,"Gera, Stadt"
07552,"Gera, Stadt"
07554,Landkreis Greiz
07557,Landkreis Greiz
07570,Landkreis Greiz
07580,Landkreis Greiz
07586,Landkreis Greiz
07589,Landkreis Greiz
07607,Saale-Holzland-Kreis
07613,Saale-Holzland-Kreis
07616,Saale-Holzland-Kreis
07619,Saale-Holzland-Kreis
07629,Saale-Holzland-Kreis
07639,Saale-Holzland-Kreis
07646,Saale-Holzland-Kreis
07743,"Jena, Stadt"
07745,"Jena, Stadt"
07747,"Jena, Stadt"
07749,"Jena, Stadt"
07751,Saale-Holzland-Kreis
07768,Saale-Holzland-Kreis
07774,Saale-Holzland-Kreis
07778,Saale-Holzland-Kreis
07806,Saale-Orla-Kreis
07819,Saale-Orla-Kreis
07907,Saale-Orla-Kreis
07919,Saale-Orla-Kreis
07922,Saale-Orla-Kreis
07924,Saale-Orla-Kreis
07926,Saale-Orla-Kreis
07927,Saale-Orla-Kreis
07929,Saale-Orla-Kreis
07937,Landkreis Greiz
07950,Landkreis Greiz
07955,Landkreis Greiz
07957,Landkreis Greiz
07958,Landkreis Greiz
07973,Landkreis Greiz
07980,Landkreis Greiz
07987,Landkreis Greiz
07989,Landkreis Greiz
36404,Wartburgkreis
36414,Wartburgkreis
36419,Wartburgkreis
36433,Wartburgkreis
36448,Wartburgkreis
36452,Landkreis Schmalkalden-Meiningen
36456,Wartburgkreis
36457,Wartburgkreis
36460,Wartburgkreis
36466,Wartburgkreis
36469,Wartburgkreis
37308,Eichsfeld
37318,Eichsfeld
37327,Eichsfeld
37339,Eichsfeld
37345,Eichsfeld
37351,Eichsfeld
37355,Eichsfeld
37359,Eichsfeld
96515,Landkreis Sonneberg
96523,Landkreis Sonneberg
96524,Landkreis Sonneberg
96528,Landkreis Sonneberg
98527,Kreisfreie Stadt Suhl
98528,Kreisfreie Stadt Suhl
98529,Kreisfreie Stadt Suhl
98530,Landkreis Hildburghausen
98544,Landkreis Schmalkalden-Meiningen
98547,Landkreis Schmalkalden-Meiningen
98553,Landkreis Hildburghausen
98554,Landkreis Schmalkalden-Meiningen
98559,Kreisfreie Stadt Suhl
98574,Landkreis Schmalkalden-Meiningen
98587,Landkreis Schmalkalden-Meiningen
98590,Landkreis Schmalkalden-Meiningen
98593,Landkreis Schmalkalden-Meiningen
98596,Landkreis Schmalkalden-Meiningen
98597,Landkreis Schmalkalden-Meiningen
98599,Landkreis Schmalkalden-Meiningen
98617,Landkreis Schmalkalden-Meiningen
98630,Landkreis Hildburghausen
98631,Landkreis Schmalkalden-Meiningen
98634,Landkreis Schmalkalden-Meiningen
98639,Landkreis Schmalkalden-Meiningen
98646,Landkreis Hildburghausen
98660,Landkreis Hildburghausen
98663,Landkreis Hildburghausen
98666,Landkreis Hildburghausen
98667,Landkreis Hildburghausen
98669,Landkreis Hildburghausen
98673,Landkreis Hildburghausen
98678,Landkreis Hildburghausen
98693,Ilm-Kreis
98701,Ilm-Kreis
98704,Ilm-Kreis
98708,Ilm-Kreis
98711,Ilm-Kreis
98714,Ilm-Kreis
98716,Ilm-Kreis
98724,Landkreis Sonneberg
98739,Saalfeld-Rudolstadt
98743,Saalfeld-Rudolstadt
98744,Saalfeld-Rudolstadt
98746,Saalfeld-Rudolstadt
98749,Landkreis Sonneberg
99084,"Erfurt, Stadt"
99085,"Erfurt, Stadt"
99086,"Erfurt, Stadt"
99087,"Erfurt, Stadt"
99089,"Erfurt, Stadt"
99091,"Erfurt, Stadt"
99092,"Erfurt, Stadt"
99094,"Erfurt, Stadt"
99096,"Erfurt, Stadt"
99097,"Erfurt, Stadt"
99098,"Erfurt, Stadt"
99099,"Erfurt, Stadt"
99100,Landkreis Gotha
99102,Weimarer Land
99130,Ilm-Kreis
99189,Landkreis Sömmerda
99192,Landkreis Gotha
99195,Landkreis Sömmerda
99198,Weimarer Land
99310,Ilm-Kreis
99326,Ilm-Kreis
99330,Ilm-Kreis
99334,Ilm-Kreis
99338,Ilm-Kreis
99423,"Weimar, Stadt"
99425,"Weimar, Stadt"
99427,"Weimar, Stadt"
99428,Weimarer Land
99438,Weimarer Land
99439,Weimarer Land
99441,Weimarer Land
99444,Weimarer Land
99448,Weimarer Land
99510,Weimarer Land
99518,Weimarer Land
99610,Landkreis Sömmerda
99625,Landkreis Sömmerda
99628,Landkreis Sömmerda
99631,Landkreis Sömmerda
99634,Landkreis Sömmerda
99636,Landkreis Sömmerda
99638,Landkreis Sömmerda
99706,Kyffhäuserkreis
99707,Kyffhäuserkreis
99713,Kyffhäuserkreis
99718,Kyffhäuserkreis
99734,Landkreis Nordhausen
99735,Landkreis Nordhausen
99752,Landkreis Nordhausen
99755,Landkreis Nordhausen
99759,Landkreis Nordhausen
99762,Landkreis Nordhausen
99765,Landkreis Nordhausen
99768,Landkreis Nordhausen
99817,Wartburgkreis
99819,Wartburgkreis
99820,Wartburgkreis
99826,Wartburgkreis
99830,Wartburgkreis
99831,Wartburgkreis
99834,Wartburgkreis
99837,Wartburgkreis
99842,Wartburgkreis
99846,Wartburgkreis
99848,Wartburgkreis
99867,Landkreis Gotha
99869,Landkreis Gotha
99880,Landkreis Gotha
99885,Landkreis Gotha
99887,Landkreis Gotha
99891,Landkreis Gotha
99894,Landkreis Gotha
99897,Landkreis Gotha
99947,Unstrut-Hainich-Kreis
99955,Unstrut-Hainich-Kreis
99958,Landkreis Gotha
99974,Unstrut-Hainich-Kreis
99976,Unstrut-Hainich-Kreis
99986,Unstrut-Hainich-Kreis
99988,Unstrut-Hainich-Kreis
99991,Unstrut-Hainich-Kreis
99994,Unstrut-Hainich-Kreis
99996,Unstrut-Hainich-Kreis
99998,Unstrut-Hainich-Kreis
